familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,comgen_medidas_na,MEDIDAS_NA,Indique el o los elementos de seguridad que dispone su vivienda o edificio. No tenemos ninguna medida de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,comgen_medidas_ns,MEDIDAS_NS,Indique el o los elementos de seguridad que dispone su vivienda o edificio. No sabe,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,comgen_medidas_nr,MEDIDAS_NR,Indique el o los elementos de seguridad que dispone su vivienda o edificio. No responde,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,comgen_vecinos_medidas_whatsapp,VECINOS_MEDIDAS_WHATSAPP,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Tenemos un grupo de WhatsApp u otra red,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_vigilancia,VECINOS_MEDIDAS_VIGILANCIA,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Tenemos un sistema de vigilancia entre las personas del barrio,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_al_comunit,VECINOS_MEDIDAS_AL_COMUNIT,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Tenemos un sistema de alarma comunitaria,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_coord_pol,VECINOS_MEDIDAS_COORD_POL,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Hemos hablado con las policías para coordinar medidas de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_coord_mun,VECINOS_MEDIDAS_COORD_MUN,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Hemos hablado con agentes del municipio para coordinar medidas de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_televig,VECINOS_MEDIDAS_TELEVIG,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Tenemos un sistema de cámaras de televigilancia,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_privad,VECINOS_MEDIDAS_PRIVAD,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Tenemos contratados vigilantes privados,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_otro,VECINOS_MEDIDAS_OTRO,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? Otro elemento de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,comgen_com_pct_cat
Original,comgen_vecinos_medidas_na,VECINOS_MEDIDAS_NA,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? No tenemos ninguna medida de seguridad,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,comgen_vecinos_medidas_ns,VECINOS_MEDIDAS_NS,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? No sabe,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,comgen_vecinos_medidas_nr,VECINOS_MEDIDAS_NR,¿Cuál/es de las siguientes medidas ha adoptado en conjunto a las personas de su barrio / cuadra / block para sentirse más seguros/as? No responde,0 = No; 1 = Sí; 96 = Sin dato,NA,No se usa
Original,rph_numero_linea,rph_numeroLinea,Número de línea,,NA,No se usa
Original,rph_num_hogar,rph_numHogar,Número de hogar,,NA,No se usa
Original,rph_parentesco,rph_parentesco,¿Qué relación tiene con el jefe o jefa de hogar?,1 = Jefe/a de hogar; 2 = Cónyuge o conviviente; 3 = Hijo/a; 4 = Hijastro/a; 5 = Yerno o nuera; 6 = Nieto/a; 7 = Hermano/a o cuñado/a; 8 = Padre o madre; 9 = Suegro/a; 10 = Otro pariente; 11 = No pariente; 12 = Servicio doméstico puertas adentro,NA,No se usa
Original,rph_edad,rph_edad,¿Qué edad tiene (nombre)?,0 = 0 a 14 años; 1 = 15 a 19 años; 2 = 20 a 29 años; 3 = 30 a 39 años; 4 = 40 a 49 años; 5 = 50 a 59 años; 6 = 60 a 69 años; 7 = 70 años o más,NA,rph_edad_rec
Original,rph_ranget,rph_ranget,Rango etario,0 = 0-14; 1 = 15-29; 2 = 30-59; 3 = 60+,NA,No se usa
Original,rph_sexo,rph_sexo,¿Cuál es el sexo de (nombre)?,1 = Hombre; 2 = Mujer,NA,Se usa directamente como variable secundaria
