grupo_variable,variable,clusters_5,val,label,frq,prop
secundaria,p_aumento_barrio,C3,88,No sabe,62684,1.45
secundaria,p_aumento_barrio,C3,99,No responde,3068,0.07
secundaria,p_aumento_barrio,C4,1,Aumentó,1180745,61.57
secundaria,p_aumento_barrio,C4,2,Se mantuvo,653913,34.1
secundaria,p_aumento_barrio,C4,3,Disminuyó,65568,3.42
secundaria,p_aumento_barrio,C4,88,No sabe,16356,0.85
secundaria,p_aumento_barrio,C4,99,No responde,1250,0.07
secundaria,p_aumento_barrio,C5,1,Aumentó,1841528,72.09
secundaria,p_aumento_barrio,C5,2,Se mantuvo,638029,24.98
secundaria,p_aumento_barrio,C5,3,Disminuyó,54578,2.14
secundaria,p_aumento_barrio,C5,88,No sabe,19815,0.78
secundaria,p_aumento_barrio,C5,99,No responde,556,0.02
secundaria,info_exp_personal,C1,0,No se informa por experiencia personal,1919750,76.67
secundaria,info_exp_personal,C1,1,Se informa por experiencia personal,580306,23.18
secundaria,info_exp_personal,C1,88,No sabe,3570,0.14
secundaria,info_exp_personal,C1,99,No responde,324,0.01
secundaria,info_exp_personal,C2,0,No se informa por experiencia personal,513700,76.65
secundaria,info_exp_personal,C2,1,Se informa por experiencia personal,155672,23.23
secundaria,info_exp_personal,C2,88,No sabe,783,0.12
secundaria,info_exp_personal,C3,0,No se informa por experiencia personal,3394170,78.35
secundaria,info_exp_personal,C3,1,Se informa por experiencia personal,934292,21.57
secundaria,info_exp_personal,C3,88,No sabe,3400,0.08
secundaria,info_exp_personal,C3,99,No responde,79,0
secundaria,info_exp_personal,C4,0,No se informa por experiencia personal,1470345,76.67
secundaria,info_exp_personal,C4,1,Se informa por experiencia personal,446494,23.28
secundaria,info_exp_personal,C4,88,No sabe,978,0.05
secundaria,info_exp_personal,C4,99,No responde,15,0
secundaria,info_exp_personal,C5,0,No se informa por experiencia personal,1896963,74.26
secundaria,info_exp_personal,C5,1,Se informa por experiencia personal,656790,25.71
secundaria,info_exp_personal,C5,88,No sabe,753,0.03
secundaria,info_otras_personas,C1,0,No se informa por otras personas,1106125,44.18
secundaria,info_otras_personas,C1,1,Se informa por otras personas,1393931,55.67
secundaria,info_otras_personas,C1,88,No sabe,3570,0.14
secundaria,info_otras_personas,C1,99,No responde,324,0.01
secundaria,info_otras_personas,C2,0,No se informa por otras personas,297801,44.44
secundaria,info_otras_personas,C2,1,Se informa por otras personas,371571,55.45
secundaria,info_otras_personas,C2,88,No sabe,783,0.12
secundaria,info_otras_personas,C3,0,No se informa por otras personas,1810510,41.79
